z_0,z_1,z_2,z_3,label
-50.98964,75.11622,-8.444664,6.6636744,0
76.56887,17.181082,-48.07423,-5.3345284,0
10.728461,-29.567635,-36.613594,56.78055,0
2.8035448,-39.96307,-31.71288,49.573463,0
47.354244,36.507732,-4.7776656,64.2762,0
-27.3893,83.253944,3.3822324,2.4175825,0
0.48877162,-64.24729,-2.557041,26.665516,0
38.628624,32.097042,2.0735626,-3.4160793,0
-8.99911,51.590237,15.294115,42.48243,0
1.327527,-16.814108,-40.844715,-11.656434,0
-26.804667,57.314384,-66.097534,45.888016,0
55.08685,15.675732,-12.3895235,64.94733,0
-2.4294264,51.551346,-29.320189,29.604122,0
0.8028633,-39.36474,-38.83708,44.83948,0
-14.444096,80.87819,18.05604,5.4551177,0
57.602093,17.829542,-1.2494757,61.40305,0
7.5477185,45.141624,0.91163117,44.283,0
-10.3054695,-34.183548,-28.25406,70.59728,0
55.095905,0.72658324,-38.5496,49.585964,0
57.62665,4.071316,-41.22472,46.87012,0
45.85508,4.6107764,-37.794853,-22.118294,0
52.308125,20.17464,-7.860297,65.63819,0
21.540573,-70.90168,-30.211853,20.463152,0
15.484991,-34.8457,-54.71699,5.9143972,0
-49.494324,70.4262,-0.64093626,6.0888233,0
-59.726627,70.40392,-9.346768,8.316213,0
12.199614,-29.923534,-15.7309065,67.03945,0
65.25238,4.5658727,-51.645874,36.964016,0
2.8626432,-63.63879,2.3171334,18.72824,0
53.117237,-5.897415,-56.180058,37.129234,0
-15.05649,-25.98086,-18.929192,82.343544,0
54.490868,17.400814,-4.1199827,64.923004,0
14.173375,81.24342,-26.337385,-10.972418,0
63.836475,-6.424574,-70.10991,9.054046,0
57.381565,12.034104,-12.497454,62.05482,0
-11.041038,60.210716,40.16242,22.542444,0
-53.707073,75.253525,-11.901211,3.65111,0
58.022472,8.007132,-30.239176,53.418457,0
-42.977432,80.92372,-9.132103,6.430219,0
-2.9713187,-24.574047,-23.677805,75.37654,0
18.450415,-53.71347,-48.95825,27.933384,0
5.028872,-34.98593,-38.866966,37.695435,0
7.014433,-16.97156,-24.900568,28.826952,0
49.90929,38.053837,-5.3762007,64.156815,0
0.052645724,37.48786,31.79391,58.113594,0
-17.367283,-23.538223,-16.958612,84.17825,0
25.165699,-22.332268,-35.70336,52.58575,0
62.84193,8.706196,-34.75626,43.831825,0
