z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,label
100.707,-35.931026,69.90009,-95.66455,-73.23652,99.68064,-120.14852,-13.315729,0
165.18546,123.337204,78.518166,-59.529438,-56.289585,24.36038,16.8472,92.957466,0
110.06799,-62.153454,36.263153,-137.56618,-87.70384,62.274357,-107.71878,-15.365435,0
11.498167,134.6411,52.44659,-16.210968,-119.97684,174.72789,-26.084,60.954834,0
50.597397,17.160553,120.254105,115.84026,-55.04112,162.57086,-38.929012,-3.593002,0
19.012728,-66.45955,6.0898438,-92.951965,-17.625711,149.85962,-81.29569,-4.157746,0
103.92611,-81.097336,23.609602,-139.64964,-83.48946,58.552677,-102.55744,-28.860598,0
54.346615,156.32137,63.182194,-0.8062426,-100.71116,138.65215,-23.264986,27.409225,0
10.965811,-46.496414,-3.152579,-88.759285,-60.337845,178.80438,-83.24426,-2.5807319,0
18.96527,-49.011463,-4.45492,-112.56492,-67.855225,160.31775,-93.25167,-11.208814,0
115.93847,-65.60241,19.36375,-151.94241,-49.30358,17.768011,-111.77134,-2.7166138,0
-81.7285,80.90928,51.118355,63.460407,92.97768,28.572863,-74.5976,-211.26439,0
52.487694,15.246573,115.64818,133.28102,-63.892056,154.1439,-22.923521,-19.3848,0
27.515396,-73.44136,18.578121,-114.45974,-12.590296,128.30045,-93.1018,-31.620184,0
116.35569,-64.92566,26.638855,-141.83907,-74.38045,37.926376,-109.06723,-6.217398,0
-15.699638,194.70433,-48.642517,-37.808712,-96.1127,-60.680035,-49.187916,-98.11828,0
124.811676,162.17836,70.18174,-32.81231,-121.82686,8.708939,5.863488,-2.3547688,0
29.406553,-104.81031,20.307535,-20.527903,-22.78794,142.9167,-53.73642,25.47766,0
97.70256,-21.549232,76.22478,-94.107056,-67.45567,107.39272,-119.632675,-7.118057,0
62.435757,160.71242,58.5958,-111.76964,-82.54981,-39.302963,41.058624,-1.866563,0
43.263298,41.663876,105.76149,73.37858,-71.492294,180.67723,-62.297886,21.897795,0
33.8762,194.5583,-2.1706827,-74.857315,-101.05169,-23.602425,17.366299,-44.176285,0
-117.74665,158.95296,-51.636135,-86.13887,-44.108047,-32.855576,-124.62418,-64.26451,0
103.53636,-76.99957,48.517696,191.95412,-41.583736,63.933163,10.493779,-35.865345,0
28.831205,-44.93072,36.23835,-36.131287,-52.79623,185.8615,-105.713425,-5.643402,0
58.953915,-72.86874,38.068165,-85.56027,-77.57471,130.2988,-115.89066,-33.17902,0
63.688942,133.97247,94.94518,72.63164,-91.58053,115.904076,-23.935987,-17.106258,0
-49.457542,175.50868,-76.77062,-60.742958,-67.49063,-68.81265,-101.805115,-86.231995,0
85.846565,-57.224907,33.185314,-114.67589,57.88915,-0.08982303,-118.78919,-49.655373,0
51.415234,94.45106,-46.956482,153.57874,-64.12658,47.97535,-91.90144,10.000207,0
-31.529657,195.5456,-5.4996934,-40.648914,-143.55634,-12.432563,15.2779455,-54.64239,0
-15.424885,-132.58191,-38.840206,42.821228,-6.7475486,84.80705,-146.0248,10.651103,0
-70.330696,118.055084,-36.560505,83.13774,19.833668,158.5305,33.36673,-103.836655,0
53.24056,81.35216,104.57792,82.564384,-81.79288,159.06906,-41.107483,16.216053,0
-14.930046,165.6628,-102.12859,91.32251,-30.555796,93.50553,-51.66996,-15.605631,0
43.29155,-93.42689,16.48972,-65.72218,-74.939514,147.11124,-101.62673,-42.735435,0
-21.100647,178.5383,-65.43678,-67.71745,-70.61272,-72.86403,-53.913826,-85.98129,0
56.226906,92.940315,94.43372,82.66405,-95.59125,145.92744,-28.114292,27.614634,0
-16.160732,179.25056,58.17783,39.85592,-118.71113,24.552614,25.39752,-37.832874,0
27.10287,-30.60285,16.915339,-106.33206,-98.940506,168.78484,-103.28484,12.655466,0
44.702423,-1.807056,114.804344,105.93694,-53.02439,172.00389,-44.922897,-3.9801445,0
49.44759,-3.8817644,119.20126,119.29824,-49.246284,162.33493,-39.206783,-8.570205,0
72.038925,-102.068985,-30.167105,181.30943,-9.871881,34.202896,-60.848663,26.75124,0
52.47207,97.89388,98.710304,75.83714,-78.9379,152.06,-29.707365,13.412242,0
120.36087,-138.42891,73.70622,-44.85895,29.316319,-21.593489,-99.48387,-54.987125,0
16.64241,-167.04749,55.982334,27.194437,-13.017376,95.46098,-30.231133,-28.368076,0
-104.27421,151.83783,-61.29357,-95.24213,-45.11642,-43.354084,-118.56594,-48.49125,0
-113.46446,153.93277,-51.19126,-108.404236,-16.857615,-24.692293,-129.4647,-55.6125,0
56.594875,9.432705,50.31991,-76.74509,-31.79071,171.8789,-111.38937,37.235577,0
50.396683,-36.90246,124.08034,142.3223,-46.2236,143.36922,-29.23789,-26.566607,0
72.17009,-40.70451,21.78466,-100.312004,80.99576,8.963695,-109.68712,-74.44729,0
40.355915,-55.9505,117.287155,113.27465,-35.178978,155.92331,-44.27813,-19.92289,0
10.508334,7.8837075,32.151646,-125.54055,-98.03226,177.75111,-81.0372,45.40069,0
53.688274,94.13357,96.92743,74.38234,-91.999886,155.1215,-32.49926,20.941488,0
12.047477,125.38456,9.040364,121.71263,-38.88395,-72.611725,-100.387405,-132.99586,0
45.597645,-119.25602,89.78415,149.01634,-9.126302,107.56306,-10.052865,-50.136433,0
52.811314,71.576004,104.89739,90.91947,-81.32158,160.97165,-39.554092,23.400705,0
27.961447,155.26746,-5.9313817,-91.66235,-62.21421,-80.46069,10.335023,-54.997555,0
-101.14827,159.99216,-48.189186,-87.668686,-15.9299555,-41.43486,-138.8909,-64.30966,0
49.272495,28.089697,116.30971,109.56398,-61.219807,166.08777,-41.61778,2.7484307,0
-81.95762,173.66434,-67.710236,-68.46893,-46.859005,-48.33009,-139.9545,-74.73479,0
11.43999,4.3176312,24.663898,-83.44654,-80.44432,196.41562,-96.65981,32.956326,0
86.63363,-138.8854,60.92971,-21.176735,-27.23587,72.78625,-96.976875,-80.64764,0
37.41483,-93.53394,18.008348,-36.93642,-53.74937,138.24341,-130.36212,-26.8396,0
20.987532,-72.01971,9.530195,-18.408152,-62.864063,182.07979,-47.413643,33.6111,0
66.46208,131.85655,97.93167,77.41644,-95.50821,112.19206,-26.223513,-20.49983,0
43.50694,201.33759,34.972652,-90.91222,-104.48242,23.135496,26.144403,-2.0157282,0
2.1799648,17.430134,37.335793,-132.05307,-102.26919,171.85707,-76.692215,54.138844,0
32.587513,-34.64613,67.0851,9.022146,-36.218025,180.34064,-92.89607,26.871878,0
45.667313,2.214651,105.50739,131.38164,-71.3446,162.43388,-19.941849,-21.773376,0
-10.9459095,53.330086,-3.830855,154.9332,104.94308,52.817604,-72.23087,-176.92752,0
-106.23245,50.313683,62.568527,-187.27309,-6.7787137,52.98164,-28.06752,-72.121414,0
6.252125,20.914185,25.03355,-95.16694,-86.705864,197.29095,-90.7769,49.143856,0
18.174852,189.07031,12.783734,-5.018504,-134.82445,40.143696,0.40384147,-27.464003,0
57.22819,193.40118,29.07489,-29.36551,-120.84415,67.867546,-9.527581,7.448951,0
-79.42574,166.39047,-61.946148,-67.15572,-36.693565,-60.312836,-135.43185,-75.354324,0
63.34915,78.57904,96.06538,101.49432,-99.65523,133.82454,-27.78217,31.63869,0
46.01569,159.2207,23.326298,-99.68292,-76.60908,-63.11804,25.776789,-33.201706,0
88.437706,17.401659,88.60579,-87.59718,-47.32183,141.98996,-114.08428,22.972605,0
65.552414,66.064125,116.910446,132.14307,-60.662655,123.85031,-15.073518,-21.79658,0
59.960308,107.925446,104.124016,81.02117,-87.75271,137.20793,-29.66991,1.072868,0
44.691196,197.6325,43.10306,-89.66081,-107.219246,54.02659,22.917156,22.72611,0
42.009266,-44.963753,119.613106,114.082756,-38.590668,159.44742,-46.204617,-16.727674,0
57.521763,4.6917405,128.84088,143.96437,-56.348213,137.92334,-22.333738,-22.983185,0
76.711494,-48.176132,25.970669,-106.914894,71.02223,6.8880396,-112.1868,-63.187935,0
-92.377716,159.14912,-67.48608,-88.020386,-33.239716,-46.035004,-130.15112,-60.256237,0
51.752094,-22.875187,35.653126,-70.44571,-32.671898,165.023,-103.57353,29.318256,0
-114.44101,-79.264694,-19.398062,-28.133593,-34.715816,161.39615,-88.88336,32.324688,0
-82.81235,-21.56154,23.57805,147.8963,8.877006,129.28502,112.31976,-9.961376,0
84.83748,-141.44373,64.64316,-38.02886,44.777355,-17.341864,-94.613815,-50.739994,0
55.00596,67.19891,-19.011715,191.3383,-29.132956,-19.390106,-83.52912,-96.03723,0
51.25117,9.235752,119.76409,120.63279,-53.576424,160.71143,-36.649593,-6.694785,0
-127.226814,82.53911,92.79426,-50.899445,74.452805,29.925423,-71.80483,-183.23827,0
42.238457,-78.02221,7.3641453,-92.90341,-92.87045,140.80426,-103.796394,-23.64011,0
