z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,label
0.05611424,-0.14838898,-1.5786991,0.33335766,-0.843363,-0.36655185,0.5758036,-0.24571367,1.6788684,-1.5938703,1.2202296,2.2164106,-0.56932884,-0.2236899,-0.46269652,0.5141864,-0.014683586,-0.5894767,-1.689307,-0.657891,0.7510275,1.310162,1.086582,-0.5755194,-0.5790249,0.60513246,1.1688532,-0.7702509,-0.12996925,-0.3480569,-1.1578546,0.89370584,0
-0.7510117,0.357179,-0.11040275,-1.399846,1.3006549,0.49166542,-0.36645368,0.59594244,0.1399976,-1.9006965,-0.3811452,-0.2901177,-0.9659908,0.9395046,-0.45289776,1.4718109,-0.26918012,-0.7657211,-0.15561,-1.7412978,3.049613,0.4409281,0.11767758,0.08310286,-0.124461845,0.09024218,0.21814033,1.098727,0.30662847,-0.19084428,-0.3007444,1.5816526,0
-0.9524333,0.34510982,1.4287888,-1.4192278,0.4961574,1.1262352,0.8738823,-1.1828406,1.3218831,-1.4620386,-0.098736234,-0.58432347,-0.955936,1.7027233,0.08420934,-0.048707277,-0.112778984,0.4756516,1.267013,-0.42971063,-0.18582925,1.1395013,-1.9475793,0.41197845,-1.249966,0.6186533,1.8329573,-1.851763,1.4007366,-0.16758977,-0.1338802,-0.8213264,0
0.20663872,-0.5792476,-0.5533366,-1.1502967,-0.8546908,0.840809,-0.1486819,-0.58401847,1.8076904,-0.7427598,1.0984896,-0.17000408,1.5347977,0.009077128,1.501441,-0.44323534,0.16440302,-0.49765167,0.053708017,0.8641187,-0.4924042,-0.71261024,-0.060639117,-0.40337864,-0.70485246,-0.7410436,2.0720224,-1.2189534,0.6717838,0.6077995,2.0603654,-1.5433664,0
-0.79632795,1.3905615,-2.104137,1.900788,-0.2206301,-0.22565559,0.42463472,-0.055487484,1.7767537,0.14439626,0.7692215,1.8349259,-1.237063,-0.6134521,0.010355763,0.16027652,0.7468196,0.8792512,-0.0537981,-0.184797,1.7778629,2.0433354,0.5865108,0.069992065,-1.4934044,0.25816786,1.2556617,0.04063902,-0.7952372,-0.7373824,-0.76662195,0.9965234,0
0.019805342,0.6383435,-0.1662708,0.71766514,-0.12563288,1.0304447,1.0590497,-1.2648551,0.92189956,0.87637967,0.42538846,0.37483537,0.89503086,2.2568264,0.29521847,-0.020327974,-1.7474864,0.6632714,-1.053426,-1.1494503,0.1523946,0.03183364,-0.6667567,0.34739915,-0.5911885,0.6606063,2.2597113,-1.5561407,0.75814986,-0.12172813,0.2277912,-1.0527731,0
0.824277,1.1312625,-1.7880754,-1.0277424,0.006471254,1.2622749,0.67431283,-0.37096244,1.3762978,0.78444606,0.43254882,0.32720143,1.0019866,2.0171776,0.70358884,-0.18407375,0.56076455,0.49680817,-0.10175021,-0.6498721,0.37793335,0.29249883,-0.40562493,-0.21145247,-0.73570883,0.28319693,2.2234492,-1.1233054,0.902341,-0.6674607,0.31155568,-1.5196211,0
1.1349645,0.8544397,0.43878254,0.53175145,-0.43536377,0.7374036,0.21570265,0.560986,1.3397762,-0.6437485,0.41801533,0.24179104,0.451572,-0.71458805,1.2956235,-0.051074248,-0.18200849,-0.12308779,-0.68496424,1.491279,0.68121994,-0.9533905,-1.4560835,-0.2801883,0.69717824,-0.19985926,2.192806,-0.92528355,0.19826458,-0.060469255,2.1898777,-1.8778275,0
-0.37932295,-1.0359416,-0.31392196,-0.62749314,0.0971623,0.35209975,-2.4396222,-0.6702493,0.66525686,0.3234796,0.7565403,-1.3986547,0.77727944,-0.8209799,-0.88805926,0.11353711,0.36005792,-1.371307,0.36629573,1.9290886,0.63698137,-0.87733614,0.049325228,1.8702017,-0.10640112,0.08658993,-1.4556608,1.447052,0.19377089,0.12326041,0.25841272,0.3337708,0
0.4956951,0.7547428,1.0048476,-0.44428688,-1.7211866,-0.20968315,-0.8184065,-0.8705394,-0.4154074,0.33239076,-0.3839469,-0.390478,1.1878854,1.1135764,0.40467694,0.92873824,-0.07573431,0.69259274,1.1962013,-1.4211695,-1.9484929,0.85178244,-0.4216234,0.38253364,-0.65772206,0.42610615,0.25820512,1.0889277,0.13089132,0.13604966,-0.75520647,1.5139308,0
