z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,label
0.8597704,-1.1348503,1.0424353,2.4003122,-0.7303888,1.530541,-1.3985269,0.5106027,0
-1.0554458,-0.64263254,0.8348933,-2.0040448,0.09201918,0.6757848,-1.5974727,0.5688628,0
-0.19595039,-0.59519017,0.93211377,-1.8112601,1.3533847,0.38413453,0.32677984,-1.0703312,0
-0.4621331,-0.1630134,1.0911365,-2.0589156,0.69381547,1.0120174,-0.84106606,-0.6383803,0
-1.5819565,0.3876052,0.05261968,-1.5902162,1.6892128,-0.5313495,-1.369396,0.38087368,0
-0.33663106,-0.39958572,-1.4996685,-0.773764,0.32235593,0.48721692,-0.38659403,2.1774964,0
-1.3402767,-1.5176685,-0.43637425,0.6999361,-1.2796111,-0.4738826,-1.9418124,1.8644738,0
-1.435739,-0.955317,0.89528644,-1.6654873,-0.5433536,0.79341483,-2.016969,0.33807227,0
-0.20592216,-0.08451982,-0.06432552,-2.37578,0.46104753,0.58410066,-0.49220848,0.3434771,0
-0.10417416,0.5700704,-1.5916883,-1.4949121,1.0377713,0.26290238,-0.34342733,1.2521714,0
2.6662629,-0.2281437,-0.2148866,0.33821768,1.5612489,0.77309763,0.4352598,0.072358206,0
1.0020777,-0.8986548,0.33719295,1.1161484,-2.3747733,-0.9231307,-1.1791202,-1.7433621,0
-1.1463197,-0.8302757,0.7814474,-1.9397688,-0.24107233,0.5823978,-1.7602307,0.7069742,0
-0.612508,-0.9740885,-1.0560533,0.42394504,-0.729596,0.33817348,-1.5534021,2.1413727,0
-1.1599642,-1.08652,-0.78021914,0.029165115,-0.6743867,0.13089585,-1.4409475,2.421962,0
0.67673516,-1.1207352,0.8769596,2.723144,-0.86318845,1.5789607,-1.4513104,0.337574,0
-0.4076385,0.1311871,-1.6846067,-0.9838397,-0.14638257,0.77464,-0.22873278,1.3138814,0
-1.2189728,-1.6964605,-0.63804996,1.4511446,-1.504133,-0.5654092,-2.0295045,0.7480794,0
-0.49639714,-1.3470857,0.886294,-1.943247,0.44727668,0.021057535,-0.8836111,0.98275757,0
0.05228629,0.097902365,-1.9401842,-1.0223739,0.4913998,0.60631615,0.18511571,1.5364052,0
-0.24919833,-0.05300962,-1.4653331,-1.0276327,0.2817688,0.553544,-0.35859573,1.9730766,0
-1.3690234,-1.336395,-0.54760647,0.28141275,-1.5110294,-0.41470847,-1.8332785,1.8174492,0
-0.073607035,0.5216427,-1.2850193,-1.8634237,0.9660009,0.80890185,0.33886695,0.47073174,0
0.17355639,0.39549467,-1.814104,-1.32607,0.90245205,0.6653174,0.27771834,0.99614954,0
0.14286469,-2.0226305,1.1660148,-0.9896726,-0.2150579,-1.482682,-0.25419354,-1.8744256,0
0.7505826,-1.2120831,1.2979277,2.691497,-1.1269928,1.5889573,-1.6519809,0.102016,0
-0.6654818,-0.5634407,0.8277913,-1.9035332,0.76189774,-0.27302462,-1.1530999,0.3926489,0
1.1578453,0.5900997,0.8097797,-1.3800744,-0.99237055,1.0735309,-1.8288488,-1.6660326,0
1.0942075,0.7086916,-1.9434485,0.069745824,0.0819931,0.07641679,-0.7079486,-1.1898581,0
0.53675365,-0.9826742,0.6168651,-1.3606051,0.4239484,-0.23620416,0.837435,-2.3083386,0
1.099508,0.43379796,-0.9955461,0.89272255,1.6524228,2.0114324,-0.14264955,0.8585766,0
-0.027337112,0.27901813,-1.4850955,-1.6427191,0.70245194,0.51058984,0.12691039,1.0559317,0
2.7497363,-1.7211862,0.035585113,1.3207436,-0.49555525,-0.21991792,0.54815316,-0.6709482,0
-0.9861078,-0.774527,1.4850191,-1.8942596,0.5630306,0.82997245,-1.1996871,-0.5199511,0
-0.116290696,-1.6487105,0.610247,-1.7316666,0.99867487,-0.018321807,-0.13276678,0.63146454,0
-0.34029138,0.02719088,-1.2665507,-1.4549658,0.10072174,0.7137167,-0.26838177,1.7272401,0
0.6109948,-0.23713797,-1.919406,0.6958514,1.5282944,0.91581297,0.3269792,1.5334991,0
-0.37767798,0.025756802,-1.1861076,-1.5123905,-0.013159214,0.5104341,-0.46903825,1.5907617,0
0.47566807,0.37731245,-2.29903,-0.27300408,1.2248573,0.72889817,0.3836428,1.1761903,0
-0.756307,-2.4309468,1.19997,-1.0851734,0.0221289,-0.15462913,-0.50198907,-0.3548852,0
0.5559962,-0.6513936,0.75142753,2.608573,-1.5025909,1.6848412,-1.8571653,-0.100596875,0
-0.25707287,-1.6144055,0.7867148,-1.4932595,1.0231725,0.20449142,0.74216866,-0.9660697,0
-1.0574739,-2.0291724,1.579826,-0.90867823,-0.6144344,-0.49272826,-1.3351988,-1.6504043,0
-0.4286364,-0.8463339,-1.1350676,-0.23107372,-0.014586875,0.22391286,-0.78095865,2.5120792,0
0.14261937,-0.56608593,0.5577595,-1.6737397,1.7119714,0.112325124,0.61910677,-1.2762977,0
-1.2163937,-1.7892898,1.4617065,-1.2305555,-0.24589883,-0.0517535,-0.82768685,-1.6674863,0
-1.0653936,-2.0474908,1.307076,-1.2258132,0.14218734,-0.24341246,-0.14438981,-1.4646704,0
-0.39706844,-0.14073208,-1.1759131,-1.4095776,-0.049595904,0.57418114,-0.3548652,1.7078301,0
1.8812895,-1.6736866,0.8111218,1.9134972,-1.7489594,0.59554446,-0.28883615,-0.46573535,0
-0.085632995,0.6695096,-1.6679219,-1.5710793,1.069745,0.40025,-0.06145089,1.0609468,0
-0.14364773,-0.8524059,0.9076155,-1.807724,1.3404367,0.36160952,0.18924956,-0.81220704,0
-0.4553842,0.6276535,1.165458,-1.6648551,0.88690996,0.9106357,-0.35566896,-2.0737405,0
0.012374991,-2.3670936,0.84308565,-0.27628848,-0.21390274,-2.3452716,-1.9137131,-0.12109686,0
